x,y,Frequency
47.570411,-52.698467,5
51.14108,-100.05549,5
43.503039,-79.880732,5
46.272956,-63.129553,5
49.870701,-97.153529,5
49.880977,-119.423021,5
46.129178,-65.866799,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
49.203975,-57.430338,4
44.703204,-63.595248,4
48.168664,-53.972592,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
48.187096,-53.997281,4
,0,4
,0,4
47.783262,-65.361798,4
,0,4
,0,4
44.734231,-63.748855,4
48.933695,-55.659084,4
,0,4
,0,4
45.870692,-65.95252,4
,0,4
46.092072,-64.781254,4
,0,4
45.336995,-67.160773,4
,0,4
,0,4
,0,4
,0,4
,0,4
47.439586,-68.367835,4
,0,4
47.783262,-65.361798,4
48.168664,-53.972592,4
47.406304,-54.886839,4
,0,4
,0,4
,0,4
,0,4
,0,4
47.354695,-68.202197,4
47.439586,-68.367835,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
47.539302,-52.74861,4
46.079107,-64.818243,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
45.871093,-65.82734,4
,0,4
,0,4
47.977944,-66.355908,4
44.678415,-63.578715,4
,0,4
,0,4
46.142879,-59.865105,4
,0,4
47.563989,-52.715109,4
,0,4
,0,4
,0,4
,0,4
45.870692,-65.95252,4
46.417889,-66.5215,4
,0,4
46.720181,-65.82623,4
,0,4
,0,4
43.838441,-66.114026,4
44.725199,-63.667093,4
43.68712,-79.397115,4
48.421195,-53.581586,4
46.224529,-64.750645,4
,0,4
46.552099,-66.166269,4
,0,4
,0,4
46.18746,-60.275337,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
45.140198,-67.037942,4
,0,4
48.952943,-55.66551,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
,0,4
45.115688,-67.020717,4
,0,4
46.720181,-65.82623,4
47.589057,-52.725438,4
,0,4
,0,4
44.678415,-63.578715,4
44.333331,-78.3307,4
,0,4
,0,4
,0,4
,0,4
,0,4
45.870692,-65.95252,4
,0,4
,0,4
,0,4
,0,4
,0,4
43.125901,-79.105666,4
